City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Mount Isa,AU,-20.7333,139.5,58.77,63,75,16.11,broken clouds
80,Asau,RO,46.4333,26.4,52.72,97,100,3.74,overcast clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,69.55,88,84,5.99,broken clouds
82,Valdivia,CL,-39.8142,-73.2459,44.69,86,0,2.66,clear sky
83,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,63,40,4.61,scattered clouds
84,Fortuna,US,40.5982,-124.1573,65.93,84,100,9.22,overcast clouds
85,Mitchell,US,43.7094,-98.0298,80.58,29,0,12.66,clear sky
86,Koungou,YT,-12.7336,45.2042,74.91,83,0,12.66,clear sky
87,Kralendijk,BQ,12.15,-68.2667,84.18,74,20,10.36,few clouds
88,Novaya Ladoga,RU,60.1025,32.3019,46.0,86,96,11.14,overcast clouds
89,Flinders,AU,-34.5833,150.8552,54.68,88,100,13.0,moderate rain
90,Vidisha,IN,23.5333,77.8167,76.17,91,75,5.17,broken clouds
91,Tiksi,RU,71.6872,128.8694,39.43,86,100,12.71,light rain
92,Nome,US,64.5011,-165.4064,58.15,82,100,8.05,overcast clouds
93,Ponta Delgada,PT,37.7333,-25.6667,71.51,78,20,2.3,few clouds
94,Chegdomyn,RU,51.1167,133.0167,64.45,62,49,3.87,scattered clouds
95,Derzhavinsk,KZ,51.1,66.3167,73.63,21,59,10.29,broken clouds
96,Santo Antonio Do Ica,BR,-3.1022,-67.9397,75.27,90,87,3.8,overcast clouds
97,Alofi,NU,-19.0595,-169.9187,74.19,81,100,9.28,light rain
98,Sitka,US,57.0531,-135.33,62.49,72,100,14.97,light rain
99,Tasiilaq,GL,65.6145,-37.6368,41.16,64,97,7.72,overcast clouds
100,Smithers,CA,54.7804,-127.1743,75.0,42,86,3.98,overcast clouds
101,Saskylakh,RU,71.9167,114.0833,37.11,86,100,11.18,overcast clouds
102,Baykit,RU,61.67,96.37,43.14,91,98,3.47,overcast clouds
103,Gunjur,GM,13.2019,-16.7339,75.27,94,75,4.61,moderate rain
104,Saint-Francois,FR,46.4154,3.9054,62.04,94,69,2.3,mist
105,Sirawai,PH,7.5854,122.1407,82.31,80,100,3.56,overcast clouds
106,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,81,87,5.7,overcast clouds
107,Barrow,US,71.2906,-156.7887,39.22,93,100,6.91,fog
108,Caohai,CN,26.8661,104.2841,52.07,98,100,2.98,overcast clouds
109,Saryozek,KZ,44.3583,77.9753,58.37,31,0,3.0,clear sky
110,Constitucion,CL,-35.3333,-72.4167,53.19,74,0,7.67,clear sky
111,Ituporanga,BR,-27.4144,-49.6025,61.07,99,100,0.63,overcast clouds
112,Gillette,US,44.2911,-105.5022,86.11,23,0,11.5,clear sky
113,Quatre Cocos,MU,-20.2078,57.7625,65.08,68,0,12.48,clear sky
114,Hithadhoo,MV,-0.6,73.0833,80.58,75,55,13.58,broken clouds
115,Araouane,ML,18.9048,-3.5265,93.58,32,4,9.6,clear sky
116,Palu,ID,-0.8917,119.8707,81.75,80,53,2.42,broken clouds
